"cell_type","MALAT1","RPL13","RPS2","RPL10","RPL13A","RPS6","RPS18","RPS27","RPL32","RPS14","B2M","RPL3","RPS19","RPS12","RPS4X","RPS3","TMSB4X","RPLP2","RPL11","RPL21","RPL18A","RPL19","RPLP1","RPS3A","RPL34","RPS15","RPS15A","RPS27A","RPL31","RPL28","RPL23A","TMSB10","RPL12","RPL15","RPL18","RPL27A","RPS8","RPL7","RPS23","RPS25","RPL26","RPL10A","RPS9","RPS16","RPL6","RPL9","RPS5","RPL35A","RPL29","RPL8","RPS13","RPS7","RPL14","RPL36","RPL30","RPS28","HLA-B","EEF1A1","RPL35","TPT1","RPL5","ACTB","MT-CO1","FAU","GNB2L1","RPL7A","RPSA","RPS20","RPL4","UBA52","HLA-A","FTL","MT-CO3","RPL37A","RPL27","RPLP0","PTMA","HLA-C","EEF1D","RPS26","RPL37","MT-CO2","NACA","RPS24","PFN1","RPL24","EIF1","JUNB","RPS11","RPS10","MT-ND4","MT-CYB","RPS29","FTH1","EEF1B2","RPS21","RPL36A","COX4I1","RPL38","LTB","CD52","ARHGDIB","MT-ND2","PFDN5","RPL17","MT-ND1","GLTSCR2","CFL1","BTG1","RPL22","BTF3","SERF2","NPM1","SH3BGRL3","RPL23","HNRNPA1","PABPC1","LDHB","RPL41","RPL36AL","ACTG1","CD3D","SLC25A6","H3F3B","IL32","UBC","CCL5","MYL12A","HLA-E","UBB","CORO1A","EEF2","TOMM7","CD3E","CYBA","DDX5","PTPRCAP","FXYD5","TMEM66","IER2","S100A4","ATP5L","OAZ1","HCST","JUN","EIF3K","ATP5G2","S100A6","CD8B","COX7C","ATP5E","GAPDH","TMA7","NOSIP","MT-ATP6","COMMD6","ITM2B","MYL6","YBX1","HINT1","SNRPD2","VIM","CD7","LIMD2","EDF1","DUSP1","GMFG","PPDPF","GPSM3","SRP14","GYPC","CIRBP","C6orf48","IFITM2","PSME1","CALM1","EIF3H","SRSF5","CD37","HSPA8","RAC2","AES","SSR2","EIF3F","CHCHD2","OST4","GIMAP7","ARPC3","ARPC1B","NKG7","PPIA","EIF4A2","ARPC2","C19orf43","UQCR11","S100A10","UXT","EVL","EIF3L","TXNIP","MZT2B","ATP5D","ZFAS1","EMP3","SSR4","HNRNPA2B1","EIF3E","HSP90AA1","APRT","FOS","CD48","TSC22D3","CD27","CTSW","VAMP2","NDUFA4","PNRC1","HNRNPDL","UQCRH","GNLY","COX6B1","ZFP36","MT-ND5","MYL12B","EIF3G","UBXN1","HIGD2A","RGS10","ATP5O","ERP29","CNBP","ISG20","ATP6V1G1","ALDOA","LAPTM5","NAP1L1","COX6C","ANAPC16","LCK","SOD1","RPSAP58","LSP1","GZMM","CAPZB","C19orf53","EIF4A1","NDUFB11","CUTA","HMGN1","RARRES3","ZFP36L2","HMGB1","LY6E","SMDT1","PSMA7","S100B","TRAF3IP3","C11orf31","ARL6IP4","MIF","NDUFS5","C12orf57","CXCR4","TCEB2","ST13","PCBP2","NFKBIA","CCNI","GUK1","NBEAL1","GPX4","ENO1","CCDC85B","HSP90AB1","ACAP1","NEDD8","RBM3","IFITM1","SERP1","UBE2D2","TAGLN2","IL2RG","C9orf16","COX5B","SAP18","LAMTOR4","UBL5","PSME2","SKP1","RP11-291B21.2","SNHG8","ISCU","UBE2D3","NDUFA11","HNRNPA0","FBL","DRAP1","GTF3A","ID2","SF3B5","PRR13","ATP6V0E1","CD8A","KLF2","TSTD1","TPI1","NDUFB9","CCND3","VAMP8","CD99","SUMO2","NDUFB8","ICAM3","ANP32B","SELL","SLC25A3","CD74","COX6A1","TRMT112","IL7R","COX7A2","HSPB1","TBC1D10C","NDUFA13","PARK7","JTB","UCP2","SEPT1","PCBP1","COTL1","CALM3","ATPIF1","LAT","SLC25A5","POLR2L","ATP5A1","CLIC1","CALM2","RPL39","PRDX2","PEBP1","SEPT7","DUSP2","CD53","EIF3D","RSL1D1","GSTK1","SRSF3","C9orf142","PPP1CA","TPM3","NDFIP1","NDUFA1","LSM7","UFC1","COX7A2L","SPCS1","NDUFB2","CIB1","ALKBH7","HNRNPK","LEPROTL1","SNHG7","NUCB2","TMEM258","MZT2A","PIK3IP1","MORF4L1","ARPC5","FLT3LG","RAN","PNISR","COPE","C4orf3","TRAPPC1","C19orf60","RABAC1","TBCA","OCIAD2","CD3G","CNN2","FKBP8","TSPO","ATP5H","SCAND1","SRSF7","BRK1","WDR83OS","TMBIM6","PRMT2","PSMB1","YWHAB","UQCRQ","PRKCQ-AS1","GPX1","ATP6V1F","PGK1","KRT10","STK17A","PRDX6","POLD4","GSTP1","EIF3M","LITAF","UQCR10","PPA1","HNRNPC","PTPRC","ATP5J","SON","PSMB9","C11orf58","CSTB","MRPS21","LDHA","BIN2","PPIB","ATP5J2","NHP2L1","ITGB2","SNRPB","BIN1","LSM4","PPP1R15A","COX8A","ATP5F1","PTGES3","BTG2","RHOA","SEPW1","KRTCAP2","PRELID1","C1QBP","SEC62","RWDD1","CD2","CCR7","PSMB8","COX5A","MYEOV2","GADD45GIP1","AIF1","C9orf78","DNAJB1","LEF1","NHP2","ATP5G3","CD44","MPHOSPH8","NDUFB10","FYB","FIS1","TUBA1B","LBH","TUBA1A","SYF2","GZMA","CRIP1","DDT","SUN2","GLRX","HNRNPM","HLA-F","PKM","SEPT9","TMEM59","TMEM230","CHCHD10","CAP1","ECH1","PRDX5","CD69","ERGIC3","SSU72","EID1","SERBP1","GZMK","DAD1","CMPK1","RNASET2","PAIP2","ATP5B","CST7","H2AFZ","PSMC5","CCDC109B","PA2G4","RASGRP2","MINOS1","RPS19BP1","C19orf70","TMEM123","TUFM","MT-ND3","AURKAIP1","U2AF1","VPS28","DDIT4","MRPL23","RBM39"
"cytotoxic",43,33,26,20,24,25,14,30,19,17,10,22,16,12,10,15,14,17,18,19,15,13,14,12,24,14,10,22,14,5,12,10,10,15,8,8,9,19,4,10,4,3,7,8,10,5,8,6,13,7,7,8,12,11,6,8,3,9,9,7,6,0,10,9,11,5,6,9,9,4,1,3,2,6,7,5,5,3,4,4,4,4,8,4,0,3,1,5,3,2,4,4,0,3,2,4,4,0,3,2,1,2,1,1,3,3,3,0,1,1,0,3,0,2,5,1,4,1,1,1,0,4,0,2,1,6,2,1,0,2,4,3,1,2,1,3,2,2,2,0,6,2,1,1,2,0,2,0,1,1,2,1,0,5,1,0,2,0,2,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,2,1,0,1,1,1,1,1,0,0,0,1,3,0,0,1,0,0,1,0,1,0,2,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,1,0,0,3,0,0,2,1,0,7,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,1,0,0,0,0,1,0,2,0,1,2,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"cytotoxic",70,56,46,50,53,38,37,38,31,34,35,35,31,37,27,29,37,32,33,36,23,28,31,27,30,20,20,20,19,27,25,26,19,21,17,22,20,19,24,21,14,16,20,23,14,10,17,20,15,20,11,15,19,14,16,13,20,17,10,15,14,17,22,10,18,13,14,16,10,7,11,9,8,15,13,11,13,13,4,13,10,13,9,10,7,12,8,11,8,15,11,11,3,3,8,7,10,7,12,7,2,6,3,4,4,11,7,6,4,4,7,6,1,4,7,8,5,6,8,8,4,5,1,9,3,7,5,7,3,4,5,3,7,1,3,4,2,1,1,0,3,3,3,2,4,5,3,2,3,2,2,2,2,2,2,0,3,3,2,5,6,2,2,1,5,6,1,4,1,1,1,2,1,1,1,0,1,3,3,2,4,1,5,2,3,1,5,1,1,4,2,3,0,4,2,0,1,1,1,1,2,1,2,6,2,3,3,3,1,7,0,2,0,1,1,2,1,1,2,0,3,0,2,2,1,0,2,3,0,1,1,1,0,1,1,2,1,3,2,5,3,0,3,1,2,1,1,1,0,2,3,5,1,0,0,0,0,0,1,3,0,0,2,1,1,3,0,0,1,2,1,1,1,0,2,0,1,0,3,0,2,1,2,1,0,2,1,2,0,1,0,0,0,0,2,1,2,0,2,1,1,0,2,1,0,0,2,2,1,5,1,1,0,1,1,0,3,2,2,0,0,0,0,1,2,2,0,0,0,2,2,1,1,0,1,0,0,1,0,0,0,0,7,2,1,0,0,3,1,0,0,0,1,1,1,2,1,2,0,0,0,0,1,0,0,0,0,2,1,1,0,2,0,0,1,2,0,1,0,0,0,2,2,0,2,0,1,1,1,2,0,4,0,0,0,0,2,0,0,2,2,0,2,2,1,1,1,2,0,1,0,1,1,1,0,1,1,2,0,0,1,0,0,1,0,1,0,0,0,0,2,1,0,1,2,1,3,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,2,2,0,0,0,1,2,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,2,2,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,2
"cytotoxic",51,36,26,19,20,19,33,22,20,21,20,8,17,14,25,18,24,18,14,17,16,15,16,23,20,14,12,11,10,11,19,11,12,9,10,11,8,11,9,7,14,11,9,12,11,8,10,14,12,7,11,8,2,15,4,7,9,5,2,6,5,7,8,8,8,9,6,2,4,6,10,3,3,7,5,8,8,2,3,4,6,4,5,3,8,3,5,12,5,6,1,2,2,6,2,1,9,5,4,4,4,4,0,4,5,2,7,2,7,1,2,1,3,2,3,2,3,2,1,0,0,2,3,1,0,2,4,4,1,0,3,4,0,4,1,0,2,1,1,3,0,2,2,3,8,2,0,0,2,4,2,0,2,1,1,1,1,2,5,2,0,2,0,1,1,0,0,1,0,1,3,0,1,1,2,2,1,1,1,1,0,2,2,0,0,2,1,2,0,0,1,1,2,3,2,0,1,0,1,0,2,1,0,0,1,2,0,0,1,1,0,5,0,1,0,0,2,1,1,0,1,3,0,2,2,0,1,0,1,1,1,1,0,1,0,1,1,0,0,2,0,1,0,1,1,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,1,1,0,2,0,1,0,1,1,2,0,1,0,0,0,0,1,0,3,0,1,0,0,1,0,1,1,0,1,0,0,0,1,2,0,0,0,1,0,0,1,0,0,2,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,2,0,0,0,1,0,0,0,1,0,0,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0
"cytotoxic",44,25,18,20,23,16,15,25,14,15,21,24,16,18,14,14,14,18,15,17,13,15,15,18,21,19,10,18,17,9,11,9,13,10,9,11,4,12,18,9,10,7,7,6,9,11,8,11,9,9,20,9,15,9,11,11,5,10,10,5,12,5,2,8,5,8,3,5,8,8,7,1,6,1,4,5,6,5,2,9,3,7,3,4,3,2,5,6,5,3,4,4,4,1,0,2,4,5,7,3,2,9,1,4,1,3,2,2,4,2,0,1,3,1,2,1,3,3,3,2,0,2,0,0,0,0,0,0,0,1,1,2,1,0,0,1,1,1,2,1,0,4,1,1,1,4,1,1,4,3,1,0,3,2,2,1,1,1,1,1,2,1,0,1,1,1,0,0,3,0,1,1,1,0,0,0,1,4,0,2,0,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1,2,5,0,2,2,0,0,1,0,2,0,0,2,1,1,0,1,0,0,1,2,0,0,1,2,0,3,0,1,0,0,2,0,1,0,2,2,0,2,0,1,2,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"cytotoxic",35,24,25,15,23,5,11,20,9,11,17,10,15,14,13,19,11,10,9,13,14,17,15,7,3,15,6,5,8,13,7,1,10,5,6,5,4,7,5,7,6,3,3,9,4,5,6,12,10,4,4,5,4,10,8,8,11,4,5,6,3,4,10,10,1,2,5,6,4,7,9,1,2,7,5,7,5,7,4,4,3,1,3,1,4,4,4,2,4,0,4,3,3,2,2,4,2,3,3,5,0,1,2,3,2,7,3,1,6,1,2,2,2,1,0,2,1,4,1,4,1,1,4,0,4,3,3,0,2,2,0,1,2,2,0,0,0,1,2,0,0,1,0,1,2,0,2,1,0,0,3,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,2,1,1,1,0,0,1,0,3,0,2,0,0,0,0,0,0,1,0,0,1,3,1,1,0,1,0,1,0,0,2,0,0,1,2,1,0,1,1,0,0,2,0,0,1,1,0,0,0,1,5,1,0,1,0,2,0,0,0,3,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,1,0,0,1,1,0,3,0,0,0,0,1,1,0,0,0,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,1,1,0,1,0,1,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"cytotoxic",61,22,13,12,11,14,19,20,9,19,30,7,18,9,12,15,20,6,8,10,12,18,10,10,5,10,6,13,5,10,11,14,3,10,11,8,3,2,2,2,11,8,6,9,7,5,4,7,4,5,6,7,7,6,7,7,20,12,7,5,3,10,4,7,3,9,2,7,3,4,10,8,1,4,6,1,5,14,4,8,5,0,3,5,7,4,4,2,4,2,2,3,2,1,0,5,3,0,3,0,8,4,2,0,2,3,2,1,0,0,1,2,1,7,3,1,0,3,1,1,0,4,2,2,9,1,15,2,3,4,2,2,1,0,3,2,3,0,1,1,9,1,2,2,0,0,2,4,0,0,3,3,2,0,0,1,0,2,1,0,1,3,2,0,0,1,0,2,0,1,0,1,0,0,1,6,2,0,1,2,1,1,0,1,0,0,1,1,0,13,1,2,3,2,0,0,1,0,0,0,2,3,0,2,3,0,0,1,3,0,0,1,0,3,2,0,0,1,1,8,1,2,0,2,1,1,2,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,3,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,2,0,1,0,0,0,1,1,1,1,2,1,0,0,1,0,0,1,0,2,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,2,1,0,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"cytotoxic",58,12,24,26,20,13,20,19,17,14,19,13,13,10,8,17,10,14,12,9,10,9,10,7,11,9,13,7,8,6,14,7,8,2,10,11,5,6,5,4,8,8,4,9,3,5,5,3,2,6,7,7,7,5,8,8,8,10,8,6,5,4,4,5,4,8,3,0,2,5,4,6,7,4,1,3,6,3,2,2,7,1,1,0,3,4,4,6,2,2,2,3,1,5,0,2,2,5,3,1,3,1,4,1,1,4,0,2,2,1,2,2,2,4,3,1,2,0,1,4,2,1,1,3,1,0,10,2,3,1,2,0,1,3,2,0,3,3,1,1,1,2,2,0,1,0,1,1,1,3,0,1,1,1,0,1,1,1,0,0,2,0,1,0,1,2,1,0,0,0,0,2,0,1,1,2,1,1,0,1,0,2,0,0,1,1,2,0,0,3,1,2,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,3,1,0,1,1,2,1,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,4,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0
"cytotoxic",41,38,24,22,19,25,21,19,15,27,18,15,17,19,17,15,14,11,18,17,21,21,13,11,6,13,10,8,13,11,19,5,11,13,14,14,19,4,15,11,12,7,10,9,20,9,8,6,11,9,13,11,10,4,9,10,8,11,10,5,11,2,5,6,7,11,5,6,6,8,9,1,7,10,5,5,4,4,4,9,5,0,7,3,1,4,3,2,2,2,3,4,1,3,1,5,5,4,2,2,3,2,2,2,4,1,0,4,3,3,1,0,2,1,0,1,7,2,4,1,2,0,2,4,0,4,0,1,0,1,2,0,2,3,1,2,2,3,2,0,0,3,0,1,0,2,1,2,0,0,1,0,3,2,0,2,2,2,1,2,1,1,0,1,2,1,1,0,1,0,1,2,2,0,2,1,0,1,0,1,1,0,1,3,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,1,1,1,2,2,0,0,2,0,0,1,1,0,0,0,0,1,1,2,0,0,1,0,0,0,4,1,0,1,2,0,0,0,1,2,1,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,2,0,0,2,1,1,1,1,1,0,2,1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,2,0,0,0,3,1,1,1,1,0,0,2,0,1,0,1,1,0,2,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,1,1,0,0,0,0,0,3,1,0,0,0,1,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,2,0,0,0,0,0,0,0,0
"cytotoxic",52,28,22,16,22,13,15,23,15,14,23,21,15,19,21,8,23,8,9,16,14,9,8,11,16,11,15,14,6,8,14,11,9,9,9,9,9,6,9,8,8,6,10,6,7,4,6,12,5,7,12,10,5,4,5,5,12,5,4,5,6,11,4,4,2,2,6,5,4,5,7,4,6,2,6,5,7,5,4,4,5,5,5,2,9,6,4,3,4,4,2,2,2,7,1,2,1,4,1,3,5,2,1,2,1,1,3,4,2,1,3,4,0,5,0,0,1,1,3,3,2,0,0,3,4,3,5,1,2,4,3,1,2,2,1,0,1,0,0,7,8,2,1,3,5,2,2,2,0,0,3,1,1,0,2,0,0,3,0,1,0,1,3,0,1,8,0,3,3,2,0,0,0,2,0,5,0,0,1,1,0,0,0,1,1,1,0,3,0,4,0,1,0,2,1,0,2,1,0,1,0,0,0,1,2,1,0,3,1,0,2,2,0,4,0,0,0,0,0,1,0,4,3,1,3,0,3,0,0,0,2,0,1,1,3,0,1,4,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,1,0,1,2,0,1,0,6,0,1,0,1,2,0,1,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,0,1,1,0,2,3,2,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,2,0,0,0,0,1,1,1,0,0,0,0,2,1,0,0,0,1,0,0,0,1,1,5,0,0,0,0,3,0,3,2,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,3,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
"cytotoxic",38,32,28,29,22,24,21,17,22,16,13,21,17,25,17,21,16,22,10,22,18,12,18,8,13,19,7,12,16,14,9,14,10,15,19,10,21,7,6,11,7,10,11,9,10,9,12,16,9,9,10,11,6,5,11,11,9,9,5,5,9,3,5,5,10,6,11,9,3,3,6,4,4,10,3,6,8,4,4,4,4,5,2,4,4,8,1,1,4,8,3,4,5,2,5,0,2,3,2,0,2,3,5,3,3,1,5,2,2,2,2,3,1,0,2,1,1,3,1,1,2,3,0,3,0,2,0,1,1,1,2,3,4,3,2,0,0,0,1,0,4,2,0,2,0,3,1,0,3,3,2,0,2,3,0,4,0,1,2,0,2,0,1,1,1,0,1,1,0,3,1,3,0,1,3,0,0,0,1,1,1,0,1,0,0,0,0,2,1,0,1,1,0,1,1,1,0,0,0,2,1,1,0,0,0,2,0,1,0,2,1,0,0,0,1,0,1,2,0,0,2,0,0,1,1,0,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,1,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,3,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0
"cytotoxic",42,31,31,29,26,25,20,23,22,12,12,24,19,17,17,19,21,11,15,13,17,21,13,11,9,11,9,12,12,16,8,16,12,8,15,5,8,3,11,10,8,13,15,10,9,6,11,11,8,11,11,9,12,12,6,9,7,5,9,10,5,2,2,5,7,7,5,7,4,9,4,5,3,5,6,4,3,9,5,2,8,0,8,3,1,7,4,2,1,0,0,3,6,4,9,5,3,3,3,5,3,3,1,1,3,2,3,0,4,0,6,6,1,1,3,4,1,0,1,2,2,2,5,4,4,1,0,0,1,1,0,2,2,2,1,1,2,2,2,3,0,1,1,0,5,0,1,1,0,0,1,2,0,2,0,0,0,0,3,1,0,1,3,0,2,1,2,0,0,1,4,1,0,2,0,1,0,0,0,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,2,0,0,2,0,2,3,1,0,1,0,0,1,3,0,0,0,0,0,1,1,0,1,1,1,0,0,2,2,1,2,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,2,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,2,1,3,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,2,0,1,3,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
