AAPL,NFLX,AMZN,MMM,K,O,NSRGY,LDSVF,JPM,JNJ,TSLA,V,PFE
9.938018,26.36857,182.589996,64.994461,36.857082,21.245226,43.572083,2653.267578,31.630489,46.130936,6.018,15.943129,11.33789
9.971185,25.715714,182.139999,65.400337,36.799438,21.481146,43.542538,2653.267578,32.073948,45.893806,5.11,16.425615,11.260625
9.995453,26.238571,181.089996,65.197388,36.857082,21.512182,43.845375,2653.267578,32.02887,45.982716,5.282,16.407061,11.325008
9.98992,25.752857,183.369995,65.212418,36.828255,21.493561,43.786285,2653.267578,31.840942,46.041996,5.546,16.376905,11.331448
9.939864,25.685715,182.75,65.047058,36.835449,21.452412,43.084579,2653.267578,31.743238,45.901211,5.3,16.304989,11.260625
9.906079,25.1,180,64.866676,36.806648,21.321484,43.446518,2653.267578,31.886051,45.834515,5.326,16.325867,11.273504
10.121364,25.487143,184.220001,65.234962,36.662514,21.558399,43.808445,2653.267578,32.757996,46.553337,5.324,16.358353,11.382956
10.174186,25.91,185.009995,65.144775,36.95797,21.128229,42.597084,2653.267578,33.232086,46.946095,5.334,16.376905,11.582543
10.257413,25.675714,187.419998,65.144775,36.799438,21.109526,41.511292,2653.267578,33.638466,46.916451,5.366,16.72253,11.659802
10.249121,25.427143,185.860001,64.746407,36.69136,20.966127,40.994244,2653.267578,33.472908,46.842354,5.576,16.973059,11.704867
10.322517,25.614286,185.490005,64.814056,36.749008,21.078344,41.082878,2653.267578,32.840771,46.390301,5.648,16.924347,11.807885
10.51692,26.84,184.679993,65.505577,36.785027,21.016014,40.890835,2653.267578,32.660164,46.064251,5.69,16.657578,11.756379
10.492042,26.664286,184.339996,65.949043,36.69136,20.91626,40.83913,2653.267578,32.810658,46.145752,5.392,16.673824,11.730624
10.577421,26.985714,184.080002,66.640541,36.828255,20.947422,41.016396,2653.267578,33.645977,46.3162,5.392,16.843159,11.827197
10.616113,27.355715,185.529999,66.17453,37.109276,20.997311,39.753342,2653.267578,33.450333,46.620049,5.244,16.502167,11.730624
10.702106,27.354286,188.75,66.219635,36.749008,21.016014,39.731178,2653.267578,33.796497,46.353268,5.15,16.497528,11.807885
10.461638,27.668571,191.25,66.249718,36.84988,21.458641,40.211288,1985.528809,33.676094,46.019791,5.128,16.518398,11.833635
10.406054,27.267143,186.869995,66.11438,36.785027,21.171864,40.573223,1985.528809,32.89344,46.360661,4.806,16.03359,11.795007
10.216875,26.428572,181.960007,66.17453,37.238979,21.009789,40.078339,1985.528809,33.676094,46.582977,4.524,16.397774,11.743505
